date,p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg),Tlog (degC),OT
2020-04-14 12:20:00,997.47,6.03,279.39,-6.16,41.06,9.38,3.85,5.53,2.4,3.86,1242.78,4.22,6.23,21.65,17.98,417.2
2020-04-14 12:30:00,997.46,5.65,279.01,-5.49,44.37,9.13,4.05,5.08,2.53,4.06,1244.38,1.76,4.25,352.6,18.18,416.5
2020-04-14 12:40:00,997.4,5.71,279.08,-5.24,45.05,9.17,4.13,5.04,2.58,4.14,1243.97,2.46,3.93,350.7,18.25,416.1
2020-04-14 12:50:00,997.4,6.0,279.37,-5.28,44.03,9.36,4.12,5.24,2.57,4.13,1242.7,1.82,3.45,247.7,18.24,416.2
2020-04-14 13:00:00,997.27,6.86,280.24,-5.44,40.96,9.93,4.07,5.86,2.54,4.08,1238.74,2.2,4.53,332.6,18.24,416.0
2020-04-14 13:10:00,997.32,6.68,280.06,-5.26,42.06,9.81,4.13,5.68,2.58,4.14,1239.57,2.87,6.13,272.5,18.36,415.9
2020-04-14 13:20:00,997.27,6.76,280.14,-5.03,42.58,9.86,4.2,5.66,2.62,4.21,1239.14,2.27,4.81,240.0,18.58,415.3
2020-04-14 13:30:00,997.26,6.77,280.15,-5.41,41.31,9.87,4.08,5.79,2.55,4.09,1239.13,2.99,5.67,256.2,18.79,415.5
2020-04-14 13:40:00,997.28,6.62,280.0,-5.52,41.41,9.77,4.04,5.72,2.53,4.06,1239.85,2.08,4.85,333.5,19.02,415.5
2020-04-14 13:50:00,997.23,6.68,280.06,-5.26,42.06,9.81,4.12,5.68,2.58,4.14,1239.49,2.07,3.73,328.0,19.19,415.0
2020-04-14 14:00:00,997.17,7.75,281.14,-5.55,38.22,10.56,4.03,6.52,2.52,4.05,1234.71,2.67,5.09,261.0,19.29,415.2
2020-04-14 14:10:00,997.25,7.7,281.08,-5.92,37.29,10.52,3.92,6.6,2.45,3.93,1235.08,2.18,4.77,266.7,19.43,415.3
2020-04-14 14:20:00,997.29,8.16,281.54,-5.21,38.14,10.86,4.14,6.72,2.59,4.15,1233.01,2.18,4.37,233.9,19.68,414.8
2020-04-14 14:30:00,997.32,8.43,281.81,-5.12,37.72,11.06,4.17,6.89,2.61,4.18,1231.85,1.87,3.81,290.8,20.01,414.9
2020-04-14 14:40:00,997.29,8.24,281.62,-5.41,37.36,10.92,4.08,6.84,2.55,4.09,1232.69,1.97,4.01,282.9,20.45,414.9
2020-04-14 14:50:00,997.15,8.27,281.66,-5.3,37.61,10.94,4.11,6.82,2.57,4.13,1232.37,1.91,4.73,294.8,20.93,414.6
2020-04-14 15:00:00,997.05,8.53,281.93,-5.14,37.39,11.13,4.16,6.97,2.6,4.17,1231.08,1.69,4.99,261.3,21.39,414.3
2020-04-14 15:10:00,997.15,7.9,281.29,-5.49,37.99,10.67,4.05,6.61,2.53,4.06,1234.03,2.02,4.61,356.0,21.82,414.3
2020-04-14 15:20:00,997.08,7.65,281.05,-5.63,38.24,10.48,4.01,6.48,2.5,4.02,1235.05,1.32,3.2,317.5,22.15,414.1
2020-04-14 15:30:00,996.84,7.74,281.15,-5.6,38.11,10.55,4.02,6.53,2.51,4.03,1234.36,1.74,4.61,25.76,22.3,414.1
2020-04-14 15:40:00,996.81,8.0,281.42,-5.57,37.51,10.74,4.03,6.71,2.52,4.04,1233.17,2.02,4.4,0.79,22.31,413.8
2020-04-14 15:50:00,996.78,8.68,282.1,-5.28,36.61,11.25,4.12,7.13,2.57,4.13,1230.11,0.6,1.6,251.2,22.24,413.9
2020-04-14 16:00:00,996.77,9.31,282.73,-5.64,34.14,11.74,4.01,7.73,2.5,4.02,1227.41,1.32,3.76,162.6,22.23,414.1
2020-04-14 16:10:00,996.67,9.03,282.46,-5.9,34.12,11.52,3.93,7.59,2.46,3.94,1228.54,1.38,3.26,341.6,22.34,414.1
2020-04-14 16:20:00,996.65,8.87,282.3,-5.82,34.7,11.39,3.95,7.44,2.47,3.97,1229.21,1.43,4.04,17.43,22.53,413.9
2020-04-14 16:30:00,996.69,9.24,282.67,-5.57,34.48,11.68,4.03,7.65,2.52,4.04,1227.62,2.0,5.01,250.2,22.73,413.8
2020-04-14 16:40:00,996.54,8.86,282.3,-5.9,34.5,11.38,3.93,7.46,2.46,3.94,1229.12,3.61,6.57,238.4,22.92,413.9
2020-04-14 16:50:00,996.52,8.67,282.11,-5.71,35.47,11.24,3.99,7.25,2.49,4.0,1229.9,1.83,5.57,266.0,23.07,413.8
2020-04-14 17:00:00,996.47,8.7,282.15,-5.78,35.21,11.26,3.97,7.3,2.48,3.98,1229.72,2.27,3.92,266.5,23.12,413.8
2020-04-14 17:10:00,996.62,8.7,282.13,-5.61,35.67,11.26,4.02,7.24,2.51,4.03,1229.88,1.66,3.48,250.2,23.1,413.7
2020-04-14 17:20:00,996.68,8.78,282.21,-5.6,35.5,11.32,4.02,7.3,2.51,4.03,1229.61,1.45,4.97,267.7,23.05,413.9
2020-04-14 17:30:00,996.61,9.02,282.45,-5.42,35.41,11.51,4.08,7.43,2.55,4.09,1228.45,1.4,2.88,260.2,22.99,414.0
2020-04-14 17:40:00,996.59,9.1,282.54,-5.32,35.49,11.57,4.11,7.46,2.57,4.12,1228.06,1.62,4.51,269.2,22.94,413.9
2020-04-14 17:50:00,996.66,9.07,282.5,-5.61,34.77,11.55,4.02,7.53,2.51,4.03,1228.31,1.4,3.64,288.3,22.89,414.3
2020-04-14 18:00:00,996.75,8.97,282.39,-5.6,35.05,11.47,4.02,7.45,2.51,4.03,1228.86,1.41,3.88,279.8,22.81,414.0
2020-04-14 18:10:00,996.83,8.56,281.98,-5.7,35.75,11.16,3.99,7.17,2.49,4.0,1230.77,0.73,2.46,304.9,22.66,414.3
2020-04-14 18:20:00,996.82,8.05,281.47,-5.95,36.31,10.77,3.91,6.86,2.44,3.92,1233.02,1.3,2.64,290.9,22.4,414.4
2020-04-14 18:30:00,996.82,7.82,281.24,-5.81,37.28,10.61,3.95,6.65,2.47,3.97,1234.0,0.86,1.84,271.1,22.03,414.4
2020-04-14 18:40:00,996.88,7.63,281.04,-5.3,39.29,10.47,4.11,6.36,2.57,4.13,1234.85,1.35,2.28,285.9,21.6,414.4
2020-04-14 18:50:00,996.96,7.47,280.87,-4.94,40.81,10.36,4.23,6.13,2.64,4.24,1235.59,0.97,1.8,258.6,21.16,414.4
2020-04-14 19:00:00,997.0,7.22,280.62,-4.81,41.92,10.18,4.27,5.91,2.67,4.28,1236.73,1.39,2.88,256.9,20.74,414.8
2020-04-14 19:10:00,997.03,7.0,280.4,-4.8,42.6,10.03,4.27,5.76,2.67,4.28,1237.74,1.72,2.48,259.9,20.35,415.1
2020-04-14 19:20:00,997.12,6.78,280.17,-4.8,43.23,9.88,4.27,5.61,2.67,4.28,1238.81,1.99,2.56,256.8,19.97,415.4
2020-04-14 19:30:00,997.39,6.62,279.99,-4.77,43.83,9.77,4.28,5.49,2.67,4.29,1239.88,1.58,2.48,259.7,19.59,416.1
2020-04-14 19:40:00,997.61,6.33,279.68,-4.54,45.51,9.58,4.36,5.22,2.72,4.37,1241.37,1.44,2.04,255.7,19.22,416.6
2020-04-14 19:50:00,997.7,6.06,279.41,-4.25,47.4,9.4,4.46,4.94,2.78,4.47,1242.64,1.76,3.06,252.7,18.86,417.0
2020-04-14 20:00:00,997.72,5.99,279.33,-4.17,47.93,9.35,4.48,4.87,2.8,4.49,1242.97,1.93,3.26,255.9,18.52,417.0
2020-04-14 20:10:00,997.75,5.77,279.11,-4.17,48.67,9.21,4.48,4.73,2.8,4.49,1244.0,1.81,2.52,251.4,18.18,417.4
2020-04-14 20:20:00,997.84,5.59,278.92,-4.2,49.16,9.09,4.47,4.62,2.79,4.48,1244.93,1.99,2.96,252.5,17.85,417.5
2020-04-14 20:30:00,997.93,5.54,278.87,-4.22,49.25,9.06,4.46,4.6,2.79,4.47,1245.25,2.03,3.12,252.6,17.54,417.5
2020-04-14 20:40:00,998.02,5.44,278.76,-4.23,49.54,9.0,4.46,4.54,2.78,4.47,1245.8,2.17,2.92,248.3,17.24,417.7
2020-04-14 20:50:00,997.99,5.37,278.69,-4.25,49.74,8.96,4.45,4.5,2.78,4.46,1246.1,2.31,3.04,249.1,16.96,417.8
2020-04-14 21:00:00,997.98,5.34,278.66,-4.18,50.08,8.94,4.48,4.46,2.79,4.49,1246.2,2.03,2.8,249.9,16.7,417.9
2020-04-14 21:10:00,998.09,5.28,278.6,-4.13,50.49,8.9,4.5,4.41,2.81,4.5,1246.58,1.85,2.66,248.3,16.47,417.9
2020-04-14 21:20:00,998.17,5.28,278.58,-4.1,50.61,8.9,4.5,4.39,2.81,4.51,1246.71,2.0,3.49,246.7,16.26,418.0
2020-04-14 21:30:00,998.43,5.29,278.58,-4.09,50.62,8.91,4.51,4.4,2.81,4.52,1246.96,1.81,2.8,253.5,16.07,418.1
2020-04-14 21:40:00,998.49,5.21,278.49,-4.08,50.92,8.86,4.51,4.35,2.81,4.52,1247.4,1.75,2.36,248.5,15.9,418.3
2020-04-14 21:50:00,998.43,5.13,278.41,-4.07,51.27,8.81,4.51,4.29,2.82,4.52,1247.72,2.0,2.72,247.0,15.74,418.3
2020-04-14 22:00:00,998.29,5.14,278.43,-4.06,51.28,8.81,4.52,4.29,2.82,4.53,1247.47,2.11,2.64,247.7,15.6,418.3
2020-04-14 22:10:00,998.25,5.15,278.45,-4.03,51.35,8.82,4.53,4.29,2.83,4.54,1247.35,2.02,2.44,247.6,15.46,418.0
2020-04-14 22:20:00,998.2,5.18,278.49,-3.99,51.38,8.84,4.54,4.3,2.84,4.55,1247.16,2.01,2.36,247.3,15.34,417.8
2020-04-14 22:30:00,998.15,5.01,278.32,-4.01,51.92,8.73,4.53,4.2,2.83,4.54,1247.87,2.44,2.88,243.0,15.24,417.8
2020-04-14 22:40:00,998.2,4.57,277.87,-4.08,53.3,8.47,4.51,3.95,2.82,4.52,1249.94,2.11,2.52,244.0,15.13,418.2
2020-04-14 22:50:00,998.24,3.96,277.26,-4.1,55.52,8.11,4.51,3.61,2.81,4.51,1252.72,1.37,2.04,245.4,15.02,419.4
2020-04-14 23:00:00,998.22,3.69,276.99,-4.13,56.47,7.96,4.5,3.47,2.81,4.5,1253.92,2.03,2.56,238.2,14.9,419.3
2020-04-14 23:10:00,998.3,3.35,276.64,-4.15,57.76,7.77,4.49,3.28,2.8,4.5,1255.58,1.78,2.48,228.2,14.77,422.9
2020-04-14 23:20:00,998.31,2.09,275.38,-4.24,62.75,7.1,4.46,2.65,2.78,4.46,1261.36,1.75,2.32,195.7,14.63,427.7
2020-04-14 23:30:00,998.36,1.79,275.08,-4.23,64.14,6.95,4.46,2.49,2.78,4.47,1262.77,1.03,1.72,175.9,14.49,429.0
2020-04-14 23:40:00,998.52,1.74,275.01,-4.16,64.72,6.93,4.48,2.44,2.8,4.49,1263.22,0.28,0.54,60.0,14.34,430.4
2020-04-14 23:50:00,998.41,1.53,274.82,-4.24,65.32,6.83,4.46,2.37,2.78,4.47,1264.02,0.61,1.2,191.0,14.19,430.1
2020-04-15 00:00:00,998.31,1.17,274.46,-4.29,66.81,6.65,4.44,2.21,2.77,4.45,1265.58,1.0,1.64,198.3,14.03,429.7
2020-04-15 00:10:00,998.34,1.22,274.51,-4.23,66.84,6.68,4.46,2.21,2.78,4.47,1265.36,1.79,2.8,200.9,13.89,433.9
2020-04-15 00:20:00,998.34,1.36,274.65,-4.1,66.84,6.74,4.51,2.24,2.81,4.51,1264.7,1.03,1.76,188.9,13.74,435.1
2020-04-15 00:30:00,998.57,1.27,274.54,-4.11,67.23,6.7,4.5,2.2,2.81,4.51,1265.42,0.99,2.24,158.8,13.6,435.8
2020-04-15 00:40:00,998.46,0.83,274.11,-4.11,69.35,6.49,4.5,1.99,2.81,4.51,1267.3,0.47,1.2,192.2,13.48,438.4
2020-04-15 00:50:00,998.71,0.6,273.86,-4.16,70.3,6.38,4.48,1.89,2.8,4.49,1268.72,0.67,1.44,126.4,13.37,438.4
2020-04-15 01:00:00,998.52,0.49,273.77,-4.19,70.7,6.33,4.48,1.85,2.79,4.48,1268.98,0.78,1.4,179.5,13.27,438.9
2020-04-15 01:10:00,998.3,0.2,273.49,-4.26,71.8,6.2,4.45,1.75,2.78,4.46,1270.05,1.04,1.7,167.9,13.17,439.2
2020-04-15 01:20:00,998.41,0.07,273.35,-4.15,73.1,6.14,4.49,1.65,2.8,4.49,1270.78,1.05,2.16,177.1,13.06,442.3
2020-04-15 01:30:00,998.5,-0.02,273.26,-4.11,73.8,6.1,4.5,1.6,2.81,4.51,1271.31,1.08,2.0,167.8,12.97,443.1
2020-04-15 01:40:00,998.04,-0.06,273.26,-4.15,73.8,6.08,4.49,1.59,2.8,4.5,1270.9,1.1,1.4,221.5,12.87,443.3
2020-04-15 01:50:00,997.84,0.05,273.38,-4.15,73.2,6.13,4.49,1.64,2.8,4.5,1270.14,0.54,0.84,193.8,12.77,440.8
2020-04-15 02:00:00,997.72,-0.07,273.27,-4.14,73.9,6.08,4.49,1.59,2.8,4.5,1270.56,1.09,1.96,166.7,12.68,445.1
2020-04-15 02:10:00,997.83,-0.34,272.99,-4.22,74.9,5.96,4.46,1.5,2.79,4.47,1271.95,1.8,2.82,153.9,12.6,444.5
2020-04-15 02:20:00,997.98,-0.4,272.92,-4.16,75.6,5.93,4.48,1.45,2.8,4.49,1272.42,1.0,2.08,137.9,12.52,445.2
2020-04-15 02:30:00,998.2,-0.42,272.89,-4.14,75.8,5.93,4.49,1.43,2.8,4.5,1272.77,0.65,1.44,144.9,12.45,446.7
2020-04-15 02:40:00,998.18,-0.34,272.97,-4.1,75.6,5.96,4.51,1.45,2.81,4.51,1272.38,0.89,1.48,195.7,12.39,446.4
2020-04-15 02:50:00,998.1,-0.35,272.96,-4.13,75.5,5.95,4.5,1.46,2.81,4.5,1272.33,0.76,1.24,180.0,12.35,445.9
2020-04-15 03:00:00,998.14,-0.41,272.89,-4.16,75.7,5.93,4.49,1.44,2.8,4.49,1272.69,1.37,2.04,167.4,12.3,446.5
2020-04-15 03:10:00,998.16,-0.53,272.78,-4.11,76.6,5.88,4.5,1.38,2.81,4.51,1273.24,0.77,1.36,168.9,12.25,448.9
2020-04-15 03:20:00,998.29,-0.58,272.71,-4.07,77.1,5.85,4.51,1.34,2.82,4.52,1273.65,1.15,1.84,169.8,12.2,447.3
2020-04-15 03:30:00,998.14,-0.73,272.58,-4.08,77.9,5.79,4.51,1.28,2.82,4.52,1274.14,1.12,1.68,179.6,12.14,449.9
2020-04-15 03:40:00,998.17,-0.76,272.55,-4.13,77.8,5.78,4.5,1.28,2.81,4.5,1274.32,0.8,1.76,163.7,12.07,448.5
2020-04-15 03:50:00,998.3,-0.64,272.65,-4.1,77.3,5.83,4.5,1.32,2.81,4.51,1273.96,0.86,1.64,149.8,12.01,448.2
2020-04-15 04:00:00,998.29,-0.79,272.5,-4.14,77.9,5.77,4.49,1.27,2.8,4.5,1274.64,0.65,1.16,201.4,11.94,448.0
2020-04-15 04:10:00,998.41,-0.8,272.49,-4.15,77.9,5.76,4.49,1.27,2.8,4.49,1274.83,0.55,0.96,214.9,11.88,447.4
2020-04-15 04:20:00,998.4,-0.8,272.49,-4.15,77.9,5.76,4.49,1.27,2.8,4.49,1274.83,0.87,1.24,204.4,11.81,448.4
2020-04-15 04:30:00,998.31,-0.78,272.51,-4.13,77.9,5.77,4.49,1.28,2.8,4.5,1274.61,0.5,1.08,188.0,11.75,448.2
2020-04-15 04:40:00,998.2,-0.73,272.57,-4.03,78.2,5.79,4.53,1.26,2.83,4.54,1274.22,0.87,1.44,184.9,11.69,450.0
2020-04-15 04:50:00,998.17,-0.81,272.49,-4.08,78.4,5.76,4.51,1.24,2.82,4.52,1274.58,1.1,1.56,187.0,11.64,449.8
2020-04-15 05:00:00,998.17,-0.87,272.43,-4.17,78.2,5.73,4.48,1.25,2.8,4.49,1274.88,0.89,1.38,196.2,11.6,448.7
2020-04-15 05:10:00,998.17,-0.92,272.38,-4.13,78.7,5.71,4.49,1.22,2.81,4.5,1275.08,0.58,1.44,170.7,11.56,450.4
2020-04-15 05:20:00,998.12,-0.99,272.31,-4.19,78.8,5.68,4.48,1.2,2.79,4.48,1275.38,0.99,2.08,170.7,11.53,451.4
2020-04-15 05:30:00,998.22,-1.08,272.22,-4.12,79.7,5.64,4.5,1.15,2.81,4.5,1275.92,0.78,1.8,167.5,11.5,454.4
2020-04-15 05:40:00,998.34,-1.0,272.29,-4.12,79.2,5.68,4.5,1.18,2.81,4.5,1275.66,0.66,1.36,178.1,11.47,453.4
2020-04-15 05:50:00,998.35,-0.97,272.32,-4.11,79.1,5.69,4.5,1.19,2.81,4.51,1275.55,0.67,1.72,177.2,11.44,452.3
2020-04-15 06:00:00,998.33,-1.04,272.25,-4.08,79.7,5.66,4.51,1.15,2.82,4.52,1275.83,1.05,1.66,187.6,11.41,458.5
2020-04-15 06:10:00,998.34,-1.06,272.23,-4.05,80.0,5.65,4.52,1.13,2.82,4.53,1275.95,1.06,1.84,189.9,11.4,456.5
2020-04-15 06:20:00,998.33,-0.98,272.31,-4.05,79.6,5.68,4.52,1.16,2.82,4.53,1275.59,0.99,1.44,203.0,11.4,454.8
2020-04-15 06:30:00,998.33,-0.82,272.47,-3.99,79.0,5.75,4.54,1.21,2.84,4.55,1274.82,1.23,1.88,200.2,11.42,454.0
2020-04-15 06:40:00,998.33,-0.63,272.66,-3.88,78.5,5.83,4.58,1.25,2.86,4.59,1273.88,1.13,1.74,180.1,11.47,455.8
2020-04-15 06:50:00,998.47,-0.4,272.88,-3.79,77.7,5.93,4.61,1.32,2.88,4.62,1272.96,1.22,2.16,175.2,11.55,456.2
2020-04-15 07:00:00,998.57,-0.18,273.1,-3.79,76.5,6.03,4.61,1.42,2.88,4.62,1272.07,1.45,2.32,187.2,11.66,452.3
2020-04-15 07:10:00,998.58,0.03,273.3,-3.71,75.8,6.12,4.64,1.48,2.89,4.65,1271.13,1.41,2.34,188.6,11.82,452.7
2020-04-15 07:20:00,998.58,0.22,273.49,-3.65,75.1,6.21,4.66,1.55,2.91,4.67,1270.23,1.47,2.0,168.9,11.99,452.7
2020-04-15 07:30:00,998.54,0.45,273.72,-3.52,74.6,6.31,4.71,1.6,2.94,4.71,1269.09,1.59,2.36,191.1,12.2,452.5
2020-04-15 07:40:00,998.6,0.68,273.95,-3.33,74.4,6.42,4.78,1.64,2.98,4.78,1268.05,1.31,2.02,186.8,12.43,451.1
2020-04-15 07:50:00,998.69,1.2,274.46,-3.1,72.9,6.66,4.86,1.81,3.03,4.86,1265.72,1.24,2.08,183.6,12.67,449.4
2020-04-15 08:00:00,998.6,1.76,275.03,-2.91,71.0,6.94,4.93,2.01,3.07,4.93,1262.99,1.07,1.68,198.9,12.94,446.6
2020-04-15 08:10:00,998.54,2.45,275.72,-2.62,69.08,7.29,5.03,2.25,3.14,5.04,1259.73,1.04,1.68,182.1,13.28,445.5
2020-04-15 08:20:00,998.48,3.35,276.63,-2.41,65.84,7.77,5.12,2.65,3.19,5.12,1255.51,0.93,1.68,168.7,13.71,444.0
2020-04-15 08:30:00,998.45,3.96,277.24,-2.28,63.67,8.11,5.16,2.95,3.22,5.17,1252.7,1.56,2.72,166.7,14.23,441.8
2020-04-15 08:40:00,998.41,4.58,277.86,-1.96,62.38,8.47,5.29,3.19,3.3,5.29,1249.78,1.01,2.12,164.3,14.84,440.0
2020-04-15 08:50:00,998.51,5.28,278.56,-1.75,60.33,8.9,5.37,3.53,3.35,5.38,1246.73,1.27,2.44,152.7,15.51,437.6
