,OT
32277,494.7
32278,495.1
32279,495.4
32280,501.6
32281,499.6
32282,503.6
32283,507.6
32284,502.3
32285,499.5
32286,502.7
32287,498.0
32288,510.6
32289,504.5
32290,500.2
32291,496.7
32292,488.4
32293,495.2
32294,491.0
32419,492.9
32420,495.3
32421,492.8
32422,489.3
32423,494.1
32424,492.6
32429,487.5
32430,501.5
32431,508.6
32432,508.1
32433,503.4
32434,496.3
32435,495.6
32436,497.8
32437,492.4
32720,486.0
33006,503.3
33007,499.3
33009,493.6
33010,502.7
33011,499.9
33012,507.8
33013,508.9
33014,505.8
33015,488.4
33018,484.7
33275,487.5
33276,486.3
33277,487.6
33278,486.9
33281,484.8
33289,486.1
33290,488.2
33291,490.3
33292,488.3
33293,492.0
33294,491.9
33295,495.3
33296,499.2
33297,495.2
33299,492.8
33300,500.6
33301,490.9
33302,485.2
33426,498.0
33427,509.0
33428,512.5
33429,511.2
33430,507.7
33431,501.8
33432,491.8
33433,489.3
33434,488.5
33435,485.6
33437,488.5
33438,489.1
33439,486.8
33554,489.2
33561,487.7
33562,488.5
33563,488.2
33564,500.1
33565,505.9
33566,500.3
33567,501.9
33568,499.0
33569,493.0
33570,488.5
33571,484.3
33576,487.7
33577,487.3
33578,508.6
33579,492.7
33580,497.6
33581,504.6
33582,497.9
33583,497.8
33584,497.8
33585,493.7
33586,492.3
33700,501.1
33701,504.2
33702,507.0
33703,505.4
33704,497.7
33705,493.5
35723,486.3
35724,485.6
35725,484.4
35726,493.9
35727,489.6
35732,485.1
35733,490.8
35734,501.4
35735,503.3
35736,499.8
35737,500.7
35738,502.2
35739,502.6
35741,504.3
35742,508.5
35743,506.0
35744,492.7
35745,491.7
35747,487.2
35748,486.1
35750,490.7
36032,486.7
36033,487.6
36321,486.5
36322,484.4
36604,484.8
36605,484.7
36606,489.3
36607,492.2
36608,491.7
36611,484.4
36755,484.1
36756,487.7
36758,484.4
37033,486.3
37034,484.6
37036,498.2
37037,498.1
37038,501.5
37039,501.2
37040,500.2
37041,503.6
37042,505.3
37043,505.4
37044,505.6
37045,505.4
37046,502.7
37047,503.0
37048,495.8
37049,494.0
37050,490.3
37051,490.1
37052,487.4
37157,489.8
37158,497.6
37159,498.0
37160,500.7
37161,492.2
37162,500.3
37163,496.6
37165,486.7
37168,490.4
37169,485.3
37173,485.0
37174,504.3
37175,512.2
37176,512.6
37177,506.5
37178,505.1
37179,510.5
37180,517.3
37181,523.6
37182,520.8
37183,518.1
37184,508.6
37185,497.2
37186,493.4
37187,492.8
37188,497.3
37189,497.8
37190,494.5
37191,501.4
37192,502.2
37193,495.1
37194,490.7
37195,490.1
37196,491.2
37319,501.6
37321,490.8
37322,498.6
37323,495.1
37324,497.4
37325,493.8
37326,491.9
37327,493.6
37328,496.7
37329,491.8
37330,505.2
37331,516.9
37332,510.4
37333,505.1
37334,508.7
37335,515.8
37336,506.3
37337,501.8
37338,500.7
37339,494.2
37340,491.5
37341,486.5
37342,485.7
37343,484.7
38330,485.7
38331,485.8
38332,484.3
38335,487.6
39453,485.3
39454,488.1
39455,484.6
39458,484.8
39459,486.7
39640,489.9
39645,485.7
45115,484.5
45116,483.8
45118,484.3
45135,487.2
45136,484.3
45139,484.3
45163,485.5
45164,490.6
45165,486.7
45166,486.2
45167,490.7
45168,492.0
45169,488.7
45172,484.9
45173,485.6
45185,485.9
45186,485.4
45187,506.6
45188,497.8
45189,501.2
45190,498.8
45191,500.4
45192,497.0
45193,490.4
45194,496.3
45195,494.9
45196,490.5
45197,491.7
45198,491.5
45199,490.6
45200,492.9
45201,490.6
45202,492.6
45203,490.7
45204,484.5
45211,485.5
45212,483.9
45214,483.8
45217,484.0
45397,489.0
45398,485.2
45399,484.5
45402,484.1
45403,485.9
45404,488.1
45405,488.8
45406,488.3
45407,484.7
45410,488.6
45411,486.4
45413,488.7
45414,492.7
45415,490.6
45416,487.6
45473,486.3
45474,488.4
45475,489.7
45476,486.6
45477,495.9
45478,486.6
45482,484.5
45483,484.9
45484,486.5
45485,487.7
45488,484.4
47788,489.9
47789,485.2
47790,490.4
47791,486.3
47792,484.1
47799,484.7
47800,484.5
47802,492.2
47803,496.8
47804,492.3
47805,493.4
47806,489.5
47807,485.6
48431,485.7
49010,483.8
49011,484.8
49012,484.3
49014,484.9
49090,485.6
49091,486.4
49092,486.8
49093,486.9
49094,486.0
49095,485.4
49096,484.8
49098,484.0
49099,487.6
49100,488.3
49101,488.1
49102,486.4
49103,485.5
49104,487.3
49105,487.3
49106,487.8
49107,487.9
49108,491.1
49109,488.6
49110,484.9
49121,484.3
49122,486.6
49379,485.9
49383,486.1
49384,488.2
49385,487.1
49390,484.6
49391,488.4
49392,491.3
49393,487.4
49394,486.6
49397,485.4
49398,486.2
49399,486.0
49408,483.8
49429,484.0
49430,485.5
49431,484.3
49435,485.6
49436,486.8
49437,484.5
